title,type,numberOfSeasons,numberOfEpisodes,language,yearOfRelease
Jeannie Aur Juju,,1 Season,50 Episodes,,
Family Time With Kapil Sharma,,1 Season,3 Episodes,,
Comedy Circus,,1 Season,23 Episodes,,
Chidiya Ghar,,1 Season,200 Episodes,,
Kahani Comedy Circus Ki,,1 Season,29 Episodes,,
Partners Trouble Ho Gayi Double,,1 Season,215 Episodes,,
Comedy Circus Ka Naya Daur,,1 Season,26 Episodes,,
Lapataganj,,1 Season,388 Episodes,,
Lapataganj Ek Baar Phir,,1 Season,289 Episodes,,
FIR,,1 Season,385 Episodes,,
Chandragupta Maurya,,1 Season,144 Episodes,,
Betaal Aur Sinhasan Battisi,,1 Season,21 Episodes,,
Porus,,1 Season,247 Episodes,,
Sankatmochan Mahabali Hanumaan,,1 Season,599 Episodes,,
Mere Sai - Shraddha Aur Saburi,,1 Season,422 Episodes,,
Suryaputra Karn,,1 Season,199 Episodes,,
Prithvi Vallabh,,1 Season,45 Episodes,,
Vighnaharta Ganesh,,1 Season,462 Episodes,,
Peshwa Bajirao,,1 Season,150 Episodes,,
CID,,1 Season,281 Episodes,,
Crime Patrol Dial 100,,1 Season,1023 Episodes,,
Adaalat 2,,1 Season,26 Episodes,,
Powder,,1 Season,26 Episodes,,
Khotey Sikkey,,1 Season,25 Episodes,,
Crime Patrol Satark,,1 Season,547 Episodes,,
Yudh,,1 Season,20 Episodes,,
Karamchand,,1 Season,11 Episodes,,
